"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD409","Vacant","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD410","N/D","SCS1","Deputy Director WMBC Assets","Deputy Director WMBC Assets","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","21604811","1.00","N/A","N/A","","Government Social Research Profession","North West","nan","1.00"
"OD411","N/D","SCS1","Deputy Director Pensions, Savings & Charities Policy","Deputy Director Pensions, Savings & Charities Policy","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD369","2859244","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD417","N/D","SCS1","Deputy Director Assets, Residence & Valuation","Deputy Director Assets, Residence & Valuation","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","8526226","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD418","Rosalind Kay","SCS2","Director Strategic Policy in to Delivery (SPD)","Director Strategic Policy in to Delivery (SPD)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","811166","1.00","110000","110000","","Policy Profession","London","nan","1.00"
"OD419","Jess Mitchell","SCS2","Director Knowledge, Analysis & Intelligence - Role 1","Director Knowledge, Analysis & Intelligence - Role 1","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","510346","1.00","105000","105000","","Government Statistical Service Profession","London","nan","1.00"
"OD420","Lucy Pike","SCS2","Chief Security Officer","Chief Security Officer","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD107","2354528","1.00","100000","100000","","Internal Audit Profession","West Midlands","nan","1.00"
"OD421","N/D","SCS1","Head of Adjudicator's Office","Head of Adjudicator's Office","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","2370518","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD423","Vacant","SCS1","Deputy Director Transformation Roadmap","Deputy Director Transformation Roadmap","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 09/01/2026","1.00"
"OD424","N/D","SCS1","Deputy Director Data Science","Deputy Director Data Science","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD633","3878621","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD426","N/D","SCS1","Head of TADPol2","Head of TADPol2","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD570","1646607","0.90","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD427","N/D","SCS1","Deputy Director Tax Administration: Litigation & Advice","Deputy Director Tax Administration: Litigation & Advice","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","2254638","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD431","N/D","SCS1","Deputy Director, Fiscal Events and Wider Government","Deputy Director, Fiscal Events and Wider Government","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","1607899","1.00","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD432","N/D","SCS1","Deputy Director Strategic Cross Cutting & Policy Team","Deputy Director Strategic Cross Cutting & Policy Team","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","804092","0.60","N/A","N/A","","Policy Profession","London","Jobshare","1.00"
"OD432","N/D","SCS1","Deputy Director Strategic Cross Cutting & Policy Team","Deputy Director Strategic Cross Cutting & Policy Team","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","804092","0.60","N/A","N/A","","Policy Profession","London","Jobshare","1.00"
"OD435","N/D","SCS1","Deputy Director KAI Personal Taxes (Jobshare)","Deputy Director KAI Personal Taxes (Jobshare)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","4130593","1.00","N/A","N/A","","Government Statistical Service Profession","London","Jobshare","1.00"
"OD435","N/D","SCS1","Deputy Director KAI Personal Taxes (Jobshare)","Deputy Director KAI Personal Taxes (Jobshare)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","4130593","0.60","N/A","N/A","","Government Statistical Service Profession","London","Jobshare","1.00"
"OD437","N/D","SCS1","Deputy Director KAI Operations, Strategy and Transformation","Deputy Director KAI Operations, Strategy and Transformation","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","4721776","1.00","N/A","N/A","","Government Operational Research Service","London","nan","1.00"
"OD438","N/D","SCS1","N/A - On loan out  - Deputy Director Data & Analysis - VOA 01/09/2021 - 28/02/2022 - See notes","N/A - On loan out  - Deputy Director Data & Analysis - VOA 01/09/2021 - 28/02/2022 - See notes","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","2966258","1.00","N/A","N/A","","Government Economic Service","London","nan","1.00"
"OD439","N/D","SCS1","Deputy Director, Compliance and Debt Operations - Jobshare","Deputy Director, Compliance and Debt Operations - Jobshare","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","5569361","0.80","N/A","N/A","","Government Operational Research Service","London","Jobshare","1.00"
"OD439","N/D","SCS1","Deputy Director, Compliance and Debt Operations - Jobshare","Deputy Director, Compliance and Debt Operations - Jobshare","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","5569361","0.80","N/A","N/A","","Government Operational Research Service","London","Jobshare","1.00"
"OD440","N/D","SCS1","Deputy Director KAI Indirect Taxes, Customs & Co-ordination","Deputy Director KAI Indirect Taxes, Customs & Co-ordination","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","2570182","0.89","N/A","N/A","","Government Economic Service","North West","nan","1.00"
"OD441","N/D","SCS1","Deputy Director KAI Borders and Trade Analysis","Deputy Director KAI Borders and Trade Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD419","4171625","1.00","N/A","N/A","","Government Operational Research Service","North West","nan","1.00"
"OD442","N/D","SCS1","Deputy Director KAI Direct Business Tax","Deputy Director KAI Direct Business Tax","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD928","3772039","1.00","N/A","N/A","","Government Economic Service","London","nan","1.00"
"OD444","N/D","SCS1","Head of GRC and Security Operations","Head of GRC and Security Operations","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD420","2537289","1.00","N/A","N/A","","Government Finance Profession","West Midlands","nan","1.00"
"OD447","N/D","SCS1","Head of Press & Digital Communications","Head of Press & Digital Communications","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","2750163","1.00","N/A","N/A","","Government Communication Service","London","nan","1.00"
"OD450","N/D","SCS1","Head of Security, Shared Services and Operations","Head of Security, Shared Services and Operations","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD420","2378890","1.00","N/A","N/A","","Internal Audit Profession","South East","nan","1.00"
"OD455","N/D","SCS1","Service owner: Personal Tax and Benefits & Credits","Service owner: Personal Tax and Benefits & Credits","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","1480988","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD465","N/D","SCS1","Deputy Director Change Delivery PMO","Deputy Director Change Delivery PMO","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD644","3439638","0.80","N/A","N/A","","Project Delivery Profession","Wales","nan","1.00"
"OD471","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD476","N/D","SCS1","Deputy Director Professional Capability & Assurance","Deputy Director Professional Capability & Assurance","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","1126751","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD478","N/D","SCS1","Deputy Director International Collaboration & Transparency","Deputy Director International Collaboration & Transparency","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1699455","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD481","N/D","SCS1","Deputy Director Organised Crime","Deputy Director Organised Crime","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","48644124","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD482","N/D","SCS1","Deputy Director Individuals and Business","Deputy Director Individuals and Business","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","33341687","1.00","N/A","N/A","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD489","N/D","SCS1","Policy Driven Change Portfolio Director","Policy Driven Change Portfolio Director","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD418","6918315","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD490","N/D","SCS1","Service owner: Payments, accounting and banking","Service owner: Payments, accounting and banking","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD1058","757863","1.00","N/A","N/A","","Digital, Data and Technology Professions","North East","nan","1.00"
"OD494","N/D","SCS1","Deputy Director Making Tax Digital - E2E Hub Management","Deputy Director Making Tax Digital - E2E Hub Management","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","3450511","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD497","N/D","SCS1","HR Director Corporate Services & Central Partnering Team","HR Director Corporate Services & Central Partnering Team","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","2557635","1.00","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD498","N/D","SCS1","Head of Talent Aquisition","Head of Talent Aquisition","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","3393160","1.00","N/A","N/A","","Human Resources Profession","North West","nan","1.00"
"OD506","N/D","SCS1","Head of IT Strategic Change","Head of IT Strategic Change","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD509","1954862","1.00","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","nan","1.00"
"OD507","Lucy Pink","SCS2","Director Transformation Delivery","Director Transformation Delivery","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD835","356612","1.00","120000","120000","","Policy Profession","London","Reporting To Costs Escalated to OD835","1.00"
"OD508","Vacant","SCS1","Director of Enterprise Platform Services","Director of Enterprise Platform Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/07/2024","1.00"
"OD509","Tom Skalycz","SCS2","Chief Technology Officer (CTO)","Chief Technology Officer (CTO)","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD107","2320179","1.00","150000","150000","","Other","Yorkshire and The Humber","nan","1.00"
"OD512","N/D","SCS1","Deputy Director of VAT Reliefs, Deductions & Financial Service","Deputy Director of VAT Reliefs, Deductions & Financial Service","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","436699","0.60","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD513","N/D","SCS1","Deputy Director - Governance & Change PMP/CEP","Deputy Director - Governance & Change PMP/CEP","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD644","3792306","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD514","Jonathan Smith","SCS2","Director Counter Avoidance","Director Counter Avoidance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","534638","1.00","115000","115000","","Operational Delivery Profession","South West","nan","1.00"
"OD515","Nic Bourven","SCS2","Chief Information & Digital Officer Group","Chief Information & Digital Officer Group","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD107","739168","1.00","160000","160000","","Digital, Data and Technology Professions","London","nan","1.00"
"OD516","N/D","SCS1","Head of Operational Excellence","Head of Operational Excellence","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","1814064","0.60","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD517","N/D","SCS1","DD Counter Avoidance Operations Delivery 2","DD Counter Avoidance Operations Delivery 2","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","24413571","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD518","N/D","SCS1","DD Counter Avoidance Operations Delivery 1","DD Counter Avoidance Operations Delivery 1","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","19727649","1.00","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1.00"
"OD519","N/D","SCS1","DD Counter Avoidance People, Planning & Change","DD Counter Avoidance People, Planning & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","3877335","1.00","N/A","N/A","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD520","N/D","SCS1","Deputy Director Policy CA","Deputy Director Policy CA","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD514","2614177","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD522","N/D","SCS1","Deputy Director Head of RIS Offshore","Deputy Director Head of RIS Offshore","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","13627705","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD523","Andy McConnell","SCS2","DD Business & Specialist Taxes","DD Business & Specialist Taxes","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","2389331","1.00","110000","110000","","Operational Delivery Profession","North West","Jobshare","1.00"
"OD523","Steve Long","SCS2","DD Business & Specialist Taxes","DD Business & Specialist Taxes","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","2389331","1.00","125000","125000","","Operational Delivery Profession","North West","Jobshare","1.00"
"OD527","N/D","SCS1","Deputy Director Compliance Strategy","Deputy Director Compliance Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD721","1952656","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD528","N/D","SCS1","Benefits & Credits Service Owner","Benefits & Credits Service Owner","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD455","946426","1.00","N/A","N/A","","Digital, Data and Technology Professions","South West","nan","1.00"
"OD532","N/D","SCS1","Deputy Director - Large Business Scotland & Northern Ireland","Deputy Director - Large Business Scotland & Northern Ireland","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","20181580","1.00","N/A","N/A","","Government Tax Profession","Northern Ireland","nan","1.00"
"OD533","N/D","SCS1","Deputy Director Agent Policy","Deputy Director Agent Policy","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD919","2186641","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD534","N/D","SCS1","Deputy Director Strategic Design Owner","Deputy Director Strategic Design Owner","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","0300 200 3300","contactUs@hmrc.gov.uk","OD705","1568374","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD535","N/D","SCS1","Service Owner: Risk and Intelligence","Service Owner: Risk and Intelligence","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD695","1155654","1.00","N/A","N/A","","Project Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD536","N/D","SCS1","Deputy Director - Profiling & Case Delivery","Deputy Director - Profiling & Case Delivery","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","41598578","0.92","N/A","N/A","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD538","N/D","SCS1","Deputy Director IPD (Technical)","Deputy Director IPD (Technical)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD369","5357450","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD541","N/D","SCS1","Head of Function - Compliance Projects & Work Programme","Head of Function - Compliance Projects & Work Programme","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","1814848","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1.00"
"OD543","Jade Ackers","SCS2","Director Digital Transformation","Director Digital Transformation","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","1009794","1.00","130000","130000","","Project Delivery Profession","East Midlands","nan","1.00"
"OD545","N/D","SCS1","Deputy Director Culture, Improving Customer Experience","Deputy Director Culture, Improving Customer Experience","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","2373534","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD548","N/D","SCS1","Head of PMO NI Delivery","Head of PMO NI Delivery","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD565","4883296","1.00","N/A","N/A","","Project Delivery Profession","North East","nan","1.00"
"OD552","N/D","SCS1","Head of Data Management, Capability & Assurance","Head of Data Management, Capability & Assurance","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD633","1936581","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD554","N/D","SCS1","Deputy Director Policy & Strategy","Deputy Director Policy & Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1143","1861471","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD558","N/D","SCS1","Service owner: Customer engagement","Service owner: Customer engagement","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","2632562","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD562","Francesca Roberts","SCS2","Director Customer Compliance Finance & Planning","Director Customer Compliance Finance & Planning","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","369904","1.00","110000","110000","","Government Finance Profession","London","Reporting To Costs Escalated to OD106","1.00"
"OD565","Sarah Hartley","SCS2","Director Customs Change Delivery","Director Customs Change Delivery","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD781","711712","1.00","115000","115000","","Project Delivery Profession","South East","nan","1.00"
"OD567","N/D","SCS1","Infrastructure & Technology","Infrastructure & Technology","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","859845","0.48","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD568","N/D","SCS1","Deputy Director Customer Compliance Group Communications","Deputy Director Customer Compliance Group Communications","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","2356349","1.00","N/A","N/A","","Government Communication Service","London","nan","1.00"
"OD569","N/D","SCS1","Service owner: Customer and records management","Service owner: Customer and records management","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","2067596","0.78","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","Jobshare","1.00"
"OD569","N/D","SCS1","Service owner: Customer and records management","Service owner: Customer and records management","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD987","2067596","0.60","N/A","N/A","","Digital, Data and Technology Professions","West Midlands","Jobshare","1.00"
"OD570","Paul Riley","SCS2","Director, Tax Administation","Director, Tax Administation","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","595858","1.00","115000","115000","","Policy Profession","North West","nan","1.00"
"OD571","N/D","SCS1","Deputy Director Finance, Planning & Performance","Deputy Director Finance, Planning & Performance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","4830291","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD572","N/D","SCS1","IT Delivery Manager: IT delivery policy and programmes","IT Delivery Manager: IT delivery policy and programmes","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD695","4918509","1.00","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD573","N/D","SCS1","Border Services Deputy Delivery Director","Border Services Deputy Delivery Director","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD515","2945700","1.00","N/A","N/A","","Digital, Data and Technology Professions","Yorkshire and The Humber","nan","1.00"
"OD574","N/D","SCS1","Head of Data Platform Services,","Head of Data Platform Services,","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD633","5917316","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD576","N/D","SCS1","Deputy Director Tax and Benefit Owner","Deputy Director Tax and Benefit Owner","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","1539729","1.00","N/A","N/A","","Digital, Data and Technology Professions","London","nan","1.00"
"OD578","N/D","SCS1","Head of Data Sharing & Acquisition","Head of Data Sharing & Acquisition","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD633","4637319","1.00","N/A","N/A","","Government Statistical Service Profession","London","nan","1.00"
"OD579","N/D","SCS1","HR Director CDIO & CPO","HR Director CDIO & CPO","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","1450468","0.80","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD582","Vacant","SCS1","Technology Transformation Director","Technology Transformation Director","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/07/2024","1.00"
"OD584","N/D","SCS1","Deputy Director, Finance Systems & Processes","Deputy Director, Finance Systems & Processes","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","3507651","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD590","N/D","SCS1","Deputy Director - Head of Function Risk Innovation","Deputy Director - Head of Function Risk Innovation","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","1747680","0.50","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD591","N/D","SCS1","Deputy Director Making Tax Digital – Strategy & Policy","Deputy Director Making Tax Digital – Strategy & Policy","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","1852978","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD593","Vacant","SCS1","CS Head of Communications","CS Head of Communications","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 05/07/2024","1.00"
"OD594","N/D","SCS1","Assistant Director Large Business London","Assistant Director Large Business London","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","1558575","1.00","N/A","N/A","","Policy Profession","East of England","nan","1.00"
"OD595","Philippa Madelin","SCS2","Director Wealthy & Mid Sized Business Compliance","Director Wealthy & Mid Sized Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","1097629","1.00","115000","115000","","Government Tax Profession","London","nan","1.00"
"OD596","N/D","SCS1","Deputy Director Professionalism","Deputy Director Professionalism","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","13722029","1.00","N/A","N/A","","Counter-fraud Standards and Profession","North West","nan","1.00"
"OD598","N/D","SCS1","Performance Reporting, Insight & Analysis","Performance Reporting, Insight & Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD523","4661003","1.00","N/A","N/A","","Operational Delivery Profession","North East","nan","1.00"
